request_id,vehicle_id,service_type_id,mechanic_id,customer_id,charge_per_hour,estimated_duration_hours,total_payment
288,2523,18,102,1783,30.69,4,122.76
289,2367,7,41,9074,52.89,2,105.78
290,1977,9,1,2157,70.88,4,283.52
291,5405,10,35,2387,40.9,4,163.6
292,9743,5,44,4707,39.19,2,78.38
293,2436,8,177,2155,81.92,1,81.92
294,914,1,7,1582,35.25,5,176.25
295,7334,17,241,9890,33.7,3,101.10000000000001
296,10802,22,42,4338,72.98,1,72.98
297,5455,2,165,9602,86.89,4,347.56
298,9293,4,183,3823,46.85,3,140.55
299,2651,20,83,6237,29.33,1,29.33
300,7942,14,48,9641,42.45,3,127.35000000000001
301,11409,17,71,6684,78.82,3,236.45999999999998
302,6158,10,15,8805,80.29,4,321.16
303,9767,28,117,7510,66.4,4,265.6
304,5946,7,97,1133,92.41,2,184.82
305,57,18,49,5,71.36,4,285.44
306,652,20,14,6425,39.68,1,39.68
307,3891,13,15,2112,58.81,2,117.62
308,3076,30,32,5479,53.85,5,269.25
309,11863,6,108,1129,59.19,5,295.95
310,3241,14,48,9629,31.65,3,94.94999999999999
311,5264,26,154,8933,65.78,4,263.12
312,11595,15,222,7453,35.64,4,142.56
313,11900,24,47,4928,35.54,1,35.54
314,8233,5,17,4578,54.57,2,109.14
315,9733,6,43,3049,99.33,5,496.65
316,8685,28,58,3225,61.76,4,247.04
317,1356,7,129,5332,34.13,2,68.26
318,2677,7,87,9854,99.55,2,199.1
319,6305,5,125,450,81.71,2,163.42
320,11557,10,236,695,90.2,4,360.8
321,11264,4,72,4904,25.95,3,77.85
322,5104,11,237,2629,34.84,2,69.68
323,2537,9,208,6057,51.03,4,204.12
324,11065,1,134,9295,37.64,5,188.2
325,11571,8,232,5710,22.77,1,22.77
326,6800,30,41,3100,35.73,5,178.64999999999998
327,7522,9,29,5774,93.85,4,375.4
328,5604,18,210,3839,36.58,4,146.32
329,8558,15,131,9544,49.22,4,196.88
330,10226,3,188,9985,21.73,1,21.73
331,3970,25,9,9492,71.12,4,284.48
332,4391,11,144,7901,48.91,2,97.82
333,5662,2,131,3034,47.63,4,190.52
334,7816,5,58,2981,79.28,2,158.56
335,11156,7,4,94,58.56,2,117.12
336,9168,14,224,1148,64.6,3,193.79999999999998
337,9880,27,78,8241,86.06,2,172.12
338,6453,22,117,4672,57.31,1,57.31
339,10324,25,90,2756,79.45,4,317.8
340,1606,9,141,4090,79.2,4,316.8
341,10590,13,223,5949,23.31,2,46.62
342,10454,25,98,9362,30.91,4,123.64
343,2284,15,217,12,79.7,4,318.8
344,5455,27,34,6046,84.23,2,168.46
345,10407,22,181,4329,91.38,1,91.38
346,1693,26,29,1018,91.37,4,365.48
347,6029,12,190,6726,34.24,2,68.48
348,4969,3,37,6928,72.78,1,72.78
349,7303,14,230,8314,22.09,3,66.27
350,10607,30,146,4347,95.97,5,479.85
351,5130,19,103,4952,58.71,1,58.71
352,4070,7,109,4369,33.64,2,67.28
353,4736,27,197,5324,80.78,2,161.56
354,11717,5,7,7048,45.61,2,91.22
355,11903,24,58,2298,98.27,1,98.27
356,10387,3,76,3616,43.87,1,43.87
357,962,23,171,3404,58.28,4,233.12
358,5657,5,228,4367,35.21,2,70.42
359,1963,2,156,1065,46.81,4,187.24
360,6739,18,64,495,69.53,4,278.12
361,5983,8,187,1279,79.8,1,79.8
362,3053,6,94,2678,79.01,5,395.05
363,6584,9,151,7279,42.54,4,170.16
364,8996,15,16,7125,55.07,4,220.28
365,10258,22,98,4760,42.54,1,42.54
366,8295,14,161,3814,22.96,3,68.88
367,10798,24,8,7540,61.94,1,61.94
368,652,24,18,601,28.73,1,28.73
369,4823,27,249,4752,61.9,2,123.8
370,152,12,101,9929,71.21,2,142.42
371,2111,4,29,8344,58.59,3,175.77
372,11739,19,168,324,22.04,1,22.04
373,4198,19,18,896,72.63,1,72.63
374,11848,2,113,2778,75.89,4,303.56
375,11268,3,188,4808,93.4,1,93.4
376,2835,1,73,9314,68.08,5,340.4
377,267,23,246,6788,43.13,4,172.52
378,4341,3,34,1203,24.72,1,24.72
379,658,22,217,4498,74.8,1,74.8
380,3391,3,8,5702,49.64,1,49.64
381,153,7,23,5971,78.24,2,156.48
382,8415,15,141,5186,23.11,4,92.44
383,6804,1,198,7056,55.59,5,277.95000000000005
384,5861,21,30,4380,29.28,4,117.12
385,8559,8,89,1180,46.57,1,46.57
386,345,19,90,1974,41.27,1,41.27
387,2156,30,118,7769,24.14,5,120.7
388,2558,3,88,3774,63.19,1,63.19
389,1882,4,247,5488,29.77,3,89.31
390,1299,30,182,7118,33.93,5,169.65
391,11877,16,217,1577,40.48,3,121.44
392,6059,20,50,4314,28.95,1,28.95
393,6438,4,166,6912,97.08,3,291.24
394,171,21,66,8175,34.94,4,139.76
395,5204,12,56,1991,87.95,2,175.9
396,591,16,52,8180,91.74,3,275.21999999999997
397,3063,5,2,7188,31.6,2,63.2
398,522,18,166,5017,45.67,4,182.68
399,11872,24,46,4926,94.11,1,94.11
400,8992,17,112,565,79.18,3,237.54000000000002
401,7021,22,152,2103,45.41,1,45.41
402,3773,27,61,6677,23.12,2,46.24
403,11013,1,237,9541,78.83,5,394.15
404,10046,19,61,1219,86.65,1,86.65
405,9680,4,242,4406,81.81,3,245.43
406,422,26,153,8276,29.14,4,116.56
407,11778,28,160,7401,95.32,4,381.28
408,1813,26,151,2224,72.94,4,291.76
409,10534,6,133,8533,55.8,5,279.0
410,5012,24,20,5496,76.8,1,76.8
411,4209,20,39,5832,41.18,1,41.18
412,3142,10,182,5420,85.67,4,342.68
413,2436,13,110,4270,71.58,2,143.16
414,7852,8,137,7103,70.03,1,70.03
415,6451,27,112,4563,63.9,2,127.8
416,1361,2,86,1149,96.18,4,384.72
417,2803,19,164,2223,75.91,1,75.91
418,7674,5,210,4442,35.12,2,70.24
419,6981,16,121,8155,69.4,3,208.20000000000002
420,3827,22,99,7464,56.7,1,56.7
421,1092,1,127,50,60.85,5,304.25
422,2208,9,246,882,60.27,4,241.08
423,3656,21,92,1364,77.27,4,309.08
424,3588,7,191,1591,99.47,2,198.94
425,7445,19,46,898,64.95,1,64.95
426,11008,8,203,7083,50.83,1,50.83
427,11641,13,165,2687,21.29,2,42.58
428,7311,27,250,2475,67.17,2,134.34
429,5332,24,30,2301,50.51,1,50.51
430,6573,2,226,9212,93.3,4,373.2
431,6857,19,109,1809,98.2,1,98.2
432,327,18,70,27,73.87,4,295.48
433,10237,1,191,9306,34.44,5,172.2
434,10735,22,243,7824,51.29,1,51.29
435,7921,7,194,6751,21.65,2,43.3
436,8662,14,59,3388,37.48,3,112.44
437,9556,20,166,5677,23.52,1,23.52
438,6407,23,104,8082,54.26,4,217.04
439,11732,11,91,325,62.09,2,124.18
440,435,21,10,5567,86.52,4,346.08
441,798,22,156,874,63.87,1,63.87
442,706,14,161,3061,48.86,3,146.57999999999998
443,11336,23,152,8275,86.36,4,345.44
444,5759,12,229,7063,94.25,2,188.5
445,5106,26,20,9586,65.91,4,263.64
446,4718,25,18,2078,40.9,4,163.6
447,6845,3,101,790,49.74,1,49.74
448,11456,6,153,9575,68.8,5,344.0
449,694,15,103,1511,66.5,4,266.0
450,10328,17,29,5088,68.9,3,206.70000000000002
451,8792,7,106,8083,61.75,2,123.5
452,9993,1,61,2195,87.01,5,435.05
453,1535,15,114,4573,65.08,4,260.32
454,11396,3,250,1949,81.35,1,81.35
455,7135,15,86,6085,21.86,4,87.44
456,11356,22,203,666,42.33,1,42.33
457,8089,11,165,3262,79.02,2,158.04
458,1724,11,210,7304,48.35,2,96.7
459,10893,28,34,2906,69.66,4,278.64
460,860,23,138,4060,85.86,4,343.44
461,6450,2,233,3242,95.75,4,383.0
462,965,7,109,8122,43.29,2,86.58
463,7035,15,218,5900,90.6,4,362.4
464,7733,12,219,3333,81.76,2,163.52
465,5325,3,228,5169,39.87,1,39.87
466,10837,23,127,4661,36.16,4,144.64
467,2239,16,1,8489,28.37,3,85.11
468,930,15,140,734,81.0,4,324.0
469,11718,1,54,8071,63.18,5,315.9
470,35,4,1,4081,70.72,3,212.16
471,91,17,39,3922,40.57,3,121.71000000000001
472,1587,27,197,6636,20.77,2,41.54
473,11229,20,7,9451,57.12,1,57.12
474,8013,23,134,8762,84.53,4,338.12
475,5793,4,227,6563,51.89,3,155.67000000000002
476,9217,1,128,6493,40.86,5,204.3
477,4356,29,154,787,42.46,4,169.84
478,9667,10,191,6532,77.4,4,309.6
479,7114,21,37,2051,75.16,4,300.64
480,7639,23,216,7274,30.58,4,122.32
481,1715,1,88,4401,82.44,5,412.2
482,617,6,186,6252,21.55,5,107.75
483,2951,17,167,4953,88.11,3,264.33
484,6755,12,185,5425,66.78,2,133.56
485,1492,23,136,9630,45.37,4,181.48
486,8863,17,207,6566,92.26,3,276.78000000000003
487,10237,19,230,3559,87.98,1,87.98
488,10956,19,116,4497,48.18,1,48.18
489,9937,3,137,699,34.1,1,34.1
490,8866,10,143,7224,52.85,4,211.4
491,10470,10,78,4179,37.91,4,151.64
492,11733,28,58,7229,92.32,4,369.28
493,6189,25,165,607,69.64,4,278.56
494,1015,17,85,7183,47.16,3,141.48
495,7666,20,79,7255,51.39,1,51.39
496,3541,4,136,3569,72.31,3,216.93
497,2945,23,147,263,21.04,4,84.16
498,4678,30,152,2719,71.38,5,356.9
499,8802,30,204,5602,32.57,5,162.85
500,3321,10,103,1285,45.39,4,181.56
501,2616,4,194,6988,59.36,3,178.07999999999998
502,75,27,134,9971,52.71,2,105.42
503,1453,1,97,7000,89.9,5,449.5
504,8285,29,160,7304,60.16,4,240.64
505,2623,23,80,2121,78.8,4,315.2
506,6907,12,142,2143,80.44,2,160.88
507,3581,18,210,5401,40.04,4,160.16
508,10464,30,11,4925,77.75,5,388.75
509,10257,11,5,3811,90.5,2,181.0
510,9020,13,50,8635,90.69,2,181.38
511,3253,24,65,6177,98.41,1,98.41
512,6391,20,194,372,61.85,1,61.85
513,4219,10,156,8701,51.3,4,205.2
514,714,5,155,6627,83.49,2,166.98
515,3689,6,176,9108,76.77,5,383.84999999999997
516,3653,28,20,5646,73.02,4,292.08
517,3300,1,123,273,57.3,5,286.5
518,9846,26,27,696,83.67,4,334.68
519,11559,17,179,8130,61.31,3,183.93
520,375,3,92,1018,61.25,1,61.25
521,10442,26,58,3912,94.39,4,377.56
522,4541,26,82,1155,34.35,4,137.4
523,8648,5,155,4121,47.76,2,95.52
524,1425,17,54,3266,82.3,3,246.89999999999998
525,9177,17,28,4986,72.05,3,216.14999999999998
526,11608,10,38,5736,21.89,4,87.56
527,5055,8,135,2178,23.67,1,23.67
528,3277,20,92,976,72.03,1,72.03
529,910,15,131,7010,55.78,4,223.12
530,5455,11,1,567,82.18,2,164.36
531,3115,24,82,7933,83.63,1,83.63
532,10438,21,229,6288,77.04,4,308.16
533,10688,8,101,7412,36.72,1,36.72
534,6375,3,69,2962,97.77,1,97.77
535,7730,9,22,5838,81.16,4,324.64
536,1527,27,112,3669,31.99,2,63.98
537,5178,14,107,1055,71.3,3,213.89999999999998
538,8329,29,197,2561,96.86,4,387.44
539,4333,21,62,6826,44.14,4,176.56
540,5604,3,114,8643,32.96,1,32.96
541,7367,22,93,8118,57.93,1,57.93
542,986,25,100,1120,40.83,4,163.32
543,6407,1,21,8071,73.58,5,367.9
544,1409,20,97,5023,22.05,1,22.05
545,11890,2,16,9637,32.41,4,129.64
546,6756,22,131,3314,92.39,1,92.39
547,11090,11,238,9839,72.38,2,144.76
548,6990,27,33,7310,61.62,2,123.24
549,10255,26,247,9124,57.91,4,231.64
550,7841,13,85,4272,20.01,2,40.02
551,3677,10,241,7719,80.95,4,323.8
552,4639,12,30,3167,56.14,2,112.28
553,10793,29,2,2093,62.54,4,250.16
554,2677,14,210,5834,83.81,3,251.43
555,10566,25,111,5601,34.47,4,137.88
556,3650,30,171,6168,58.29,5,291.45
557,6366,6,117,6060,80.93,5,404.65000000000003
558,5588,22,212,4235,21.11,1,21.11
559,4997,19,163,8359,80.48,1,80.48
560,9379,8,155,7356,48.9,1,48.9
561,5866,11,61,6543,72.54,2,145.08
562,10296,6,47,805,88.48,5,442.40000000000003
563,4293,15,9,5435,40.56,4,162.24
564,4260,16,222,6517,48.64,3,145.92000000000002
565,11612,23,52,10000,72.93,4,291.72
566,11599,28,248,184,25.44,4,101.76
567,9212,24,168,7676,50.81,1,50.81
568,11326,28,156,2694,86.79,4,347.16
569,1023,9,220,3933,60.92,4,243.68
570,5426,29,186,2405,89.29,4,357.16
571,8511,15,17,5787,81.54,4,326.16
572,8483,8,70,4367,37.98,1,37.98
573,2154,27,150,7638,91.89,2,183.78
574,3934,18,82,5092,41.63,4,166.52
575,2896,26,72,995,32.47,4,129.88
576,4253,27,228,8776,81.17,2,162.34
577,4941,23,109,8447,62.01,4,248.04
578,11512,24,228,9142,70.9,1,70.9
579,767,18,183,7396,52.05,4,208.2
580,4177,22,45,7990,33.24,1,33.24
581,7196,26,120,1698,28.91,4,115.64
582,7298,18,117,3171,58.43,4,233.72
583,8799,3,88,6663,29.81,1,29.81
584,6614,6,17,8009,36.93,5,184.65
585,7762,28,22,3843,79.36,4,317.44
586,11838,16,51,1034,43.34,3,130.02
587,11448,21,56,1235,65.53,4,262.12
588,1923,13,109,6806,89.37,2,178.74
589,11770,4,109,2779,44.86,3,134.57999999999998
590,11049,22,102,8939,61.82,1,61.82
591,9457,21,188,7072,58.36,4,233.44
592,6444,6,240,1246,60.18,5,300.9
593,2952,10,119,9331,97.89,4,391.56
594,10322,6,33,4222,59.52,5,297.6
595,10687,29,238,9045,53.89,4,215.56
596,695,22,117,1680,51.39,1,51.39
597,7261,3,164,4386,61.51,1,61.51
598,9352,12,118,9990,31.28,2,62.56
599,7473,18,95,2827,35.38,4,141.52
600,5169,5,153,8238,24.41,2,48.82
601,425,26,159,3099,43.39,4,173.56
602,1150,8,199,7234,39.13,1,39.13
603,5589,9,33,4686,58.27,4,233.08
604,1571,3,89,5156,61.43,1,61.43
605,3043,28,47,1085,64.59,4,258.36
606,9270,11,22,7285,27.37,2,54.74
607,9891,1,116,427,54.78,5,273.9
608,7736,21,110,9925,35.79,4,143.16
609,1917,7,25,6410,92.14,2,184.28
610,4879,11,63,9070,35.72,2,71.44
611,6558,29,76,2644,47.9,4,191.6
612,133,28,58,5911,39.59,4,158.36
613,11377,30,189,2865,85.23,5,426.15000000000003
614,1451,2,26,2630,46.98,4,187.92
615,4914,23,104,7392,46.2,4,184.8
616,9761,3,75,9492,67.1,1,67.1
617,9918,12,218,9353,81.04,2,162.08
618,7357,16,11,3809,27.62,3,82.86
619,7866,1,93,7023,62.63,5,313.15000000000003
620,11888,5,95,9042,35.69,2,71.38
621,674,3,231,4355,84.13,1,84.13
622,3546,11,79,6077,51.07,2,102.14
623,3162,26,102,7715,69.29,4,277.16
624,8448,22,206,3776,54.96,1,54.96
625,7104,8,108,4921,98.64,1,98.64
626,5111,24,80,9496,60.62,1,60.62
627,1919,1,170,6616,94.47,5,472.35
628,3179,25,34,6759,88.75,4,355.0
629,3161,19,36,445,50.16,1,50.16
630,11628,26,6,4502,31.25,4,125.0
