vehicle_id,customer_id,model_id,year,color,mileage
V000049,C02149,VM00005,2009,Wheat,100412
V000050,C01276,VM00011,2015,MediumPurple,74089
V000051,C01940,VM00007,2007,BlueViolet,118066
V000052,C02366,VM00012,2018,Chocolate,102053
V000053,C01809,VM00006,2017,CadetBlue,100555
V000054,C01489,VM00001,2012,LightPink,66526
V000055,C02691,VM00002,2017,Teal,88926
V000056,C00870,VM00003,2015,HotPink,146654
V000057,C00307,VM00004,2022,MediumSpringGreen,98604
V000058,C03210,VM00006,2006,Bisque,25195
V000059,C02788,VM00008,2019,MediumPurple,186717
V000060,C02947,VM00009,2013,NavajoWhite,40256
V000061,C00482,VM00003,2007,LawnGreen,89321
V000062,C01485,VM00003,2010,PaleVioletRed,189139
V000063,C03021,VM00004,2005,LightGray,69722
V000064,C03517,VM00011,2023,MediumOrchid,146105
V000065,C01190,VM00010,2014,SandyBrown,156770
V000066,C01321,VM00005,2022,BurlyWood,38754
V000067,C03869,VM00010,2008,DarkSalmon,30328
V000068,C03064,VM00012,2022,DarkRed,138025
V000069,C00263,VM00008,2007,BurlyWood,190690
V000070,C01725,VM00001,2011,MediumBlue,129711
V000071,C01225,VM00009,2022,WhiteSmoke,145341
V000072,C00879,VM00004,2023,DodgerBlue,87178
V000073,C03054,VM00005,2006,Blue,32474
V000074,C01000,VM00001,2023,LemonChiffon,163358
V000075,C02825,VM00007,2021,BlueViolet,64722
V000076,C02626,VM00003,2011,PaleTurquoise,193771
V000077,C02415,VM00007,2020,DarkSeaGreen,96315
V000078,C02166,VM00003,2021,Aquamarine,193105
V000079,C00535,VM00010,2005,BlueViolet,189062
V000080,C02129,VM00006,2008,DeepPink,174073
V000081,C02190,VM00011,2022,MediumSpringGreen,150246
V000082,C00963,VM00004,2010,Sienna,63710
V000083,C01581,VM00007,2005,Ivory,126972
V000084,C03459,VM00005,2013,DimGray,75551
V000085,C03236,VM00005,2011,DarkOrchid,155538
V000086,C03421,VM00002,2012,FireBrick,18946
V000087,C01892,VM00005,2023,MediumBlue,125648
V000088,C03960,VM00009,2019,Pink,167216
V000089,C00007,VM00008,2007,DeepSkyBlue,119785
V000090,C00167,VM00008,2022,Tomato,135320
V000091,C02430,VM00008,2015,Orchid,159943
V000092,C01865,VM00011,2017,Blue,119343
V000093,C01033,VM00005,2023,Maroon,21949
V000094,C03476,VM00006,2006,Turquoise,49916
V000095,C00431,VM00010,2020,PapayaWhip,10797
V000096,C03483,VM00012,2005,Chartreuse,151789
V000097,C03344,VM00010,2015,LightBlue,122563
V000098,C02262,VM00005,2018,DodgerBlue,151537
V000099,C02246,VM00002,2010,CornflowerBlue,175466
V000100,C01701,VM00009,2018,RosyBrown,20085
V000101,C02259,VM00009,2005,Aqua,96122
V000102,C03216,VM00004,2021,LightGreen,129944
V000103,C00563,VM00007,2015,DeepSkyBlue,190154
V000104,C03152,VM00009,2017,DarkKhaki,43765
V000105,C02262,VM00012,2013,Orchid,21718
V000106,C02816,VM00001,2007,LightCyan,183784
V000107,C03637,VM00009,2008,LightPink,97907
V000108,C02910,VM00010,2008,MidnightBlue,22147
V000109,C03795,VM00009,2022,DarkCyan,193447
V000110,C02012,VM00009,2010,PaleVioletRed,77375
V000111,C02992,VM00012,2014,LightGray,154357
V000112,C01445,VM00012,2009,BlanchedAlmond,71063
V000113,C02006,VM00001,2010,Green,195778
V000114,C03800,VM00010,2013,Navy,12229
V000115,C00394,VM00004,2007,Silver,192069
V000116,C02407,VM00003,2009,Gainsboro,161693
V000117,C02762,VM00001,2014,YellowGreen,133662
V000118,C02220,VM00008,2018,LightSalmon,117939
V000119,C02240,VM00010,2010,Linen,189606
V000120,C01884,VM00007,2006,Azure,39958
V000121,C03371,VM00005,2015,PaleTurquoise,108873
V000122,C00767,VM00005,2010,Crimson,61414
V000123,C02597,VM00012,2005,CornflowerBlue,178487
V000124,C03171,VM00009,2006,RoyalBlue,123518
V000125,C02809,VM00002,2014,YellowGreen,86218
V000126,C00793,VM00008,2017,Tan,146137
V000127,C00213,VM00006,2008,Gray,187768
V000128,C02814,VM00006,2015,SpringGreen,181860
V000129,C01799,VM00003,2009,LightSeaGreen,84865
V000130,C01397,VM00006,2018,Sienna,91647
V000131,C02842,VM00012,2015,MidnightBlue,65965
V000132,C03788,VM00004,2013,MediumPurple,154384
V000133,C01422,VM00010,2017,Aqua,138157
V000134,C03400,VM00002,2008,Olive,111729
V000135,C01939,VM00011,2006,LightGreen,42809
V000136,C03395,VM00003,2011,Olive,146456
V000137,C02250,VM00006,2012,LightCyan,183604
V000138,C01667,VM00006,2023,White,158845
V000139,C03386,VM00003,2012,Orchid,87433
V000140,C02664,VM00006,2020,MediumSeaGreen,6776
V000141,C00386,VM00001,2021,Sienna,164801
V000142,C01555,VM00001,2021,Turquoise,18886
V000143,C01297,VM00004,2017,LawnGreen,191676
V000144,C03522,VM00001,2008,LightCoral,98939
V000145,C02271,VM00009,2013,Orchid,158995
V000146,C01033,VM00010,2006,MediumVioletRed,36374
V000147,C00411,VM00012,2015,Maroon,23615
V000148,C03045,VM00008,2019,DarkSalmon,165917
V000149,C03277,VM00004,2022,Thistle,21679
V000150,C00806,VM00012,2018,SkyBlue,143876
V000151,C03423,VM00008,2007,DarkGoldenRod,113451
V000152,C00027,VM00007,2020,Chocolate,196464
V000153,C00152,VM00001,2005,LightSlateGray,47259
V000154,C03000,VM00011,2018,GreenYellow,197035
V000155,C03470,VM00003,2012,LightGray,56018
V000156,C02540,VM00008,2005,MistyRose,70221
V000157,C00837,VM00009,2013,BurlyWood,162686
V000158,C03817,VM00008,2022,Beige,52013
V000159,C00660,VM00001,2023,DeepSkyBlue,52510
V000160,C00673,VM00004,2008,Blue,12729
V000161,C00090,VM00004,2012,LimeGreen,175238
V000162,C01671,VM00003,2022,MediumOrchid,134754
V000163,C01198,VM00002,2009,OldLace,196015
V000164,C01646,VM00011,2014,DarkMagenta,36326
V000165,C00729,VM00006,2023,MediumOrchid,91976
V000166,C00089,VM00009,2018,CornflowerBlue,28358
V000167,C01721,VM00004,2019,SeaGreen,29683
V000168,C02667,VM00011,2007,Pink,110789
V000169,C01754,VM00007,2021,BlueViolet,155471
V000170,C02000,VM00004,2011,DodgerBlue,188744
V000171,C00705,VM00001,2009,Plum,184661
V000172,C02524,VM00004,2016,DeepPink,106567
V000173,C03985,VM00012,2022,LightSalmon,111843
V000174,C02054,VM00010,2010,Indigo,104953
V000175,C00985,VM00003,2012,MediumBlue,187561
V000176,C01707,VM00009,2022,DarkGray,129363
V000177,C03196,VM00006,2018,Snow,41309
V000178,C00348,VM00009,2022,DarkTurquoise,94992
V000179,C02426,VM00012,2019,LightSlateGray,52969
V000180,C02569,VM00007,2006,PowderBlue,30129
V000181,C01251,VM00008,2005,Purple,86578
V000182,C02923,VM00005,2019,ForestGreen,98102
V000183,C00338,VM00004,2014,DeepPink,51507
V000184,C02964,VM00011,2010,Cornsilk,190404
V000185,C03525,VM00007,2005,NavajoWhite,117816
V000186,C00119,VM00001,2006,OrangeRed,71063
V000187,C00744,VM00005,2020,Chartreuse,135988
V000188,C03512,VM00009,2013,PaleTurquoise,28785
V000189,C02061,VM00011,2013,MistyRose,53382
V000190,C02874,VM00010,2017,Maroon,73289
V000191,C02733,VM00009,2016,MediumSlateBlue,110231
V000192,C02860,VM00009,2011,MediumTurquoise,57587
V000193,C03784,VM00004,2023,GoldenRod,64412
V000194,C00728,VM00004,2021,BlanchedAlmond,97065
V000195,C02445,VM00007,2014,PaleVioletRed,174666
V000196,C01652,VM00003,2006,LightPink,170939
V000197,C00825,VM00012,2010,Thistle,26382
V000198,C02957,VM00009,2022,Cyan,94055
V000199,C03076,VM00011,2023,MediumVioletRed,123417
V000200,C02093,VM00011,2007,PaleVioletRed,29648
V000201,C02815,VM00002,2014,Peru,142328
V000202,C00019,VM00008,2007,MediumBlue,72572
V000203,C00724,VM00012,2017,LightSalmon,10347
V000204,C01785,VM00006,2008,PapayaWhip,163901
V000205,C01279,VM00001,2009,IndianRed,20964
V000206,C03104,VM00007,2022,SteelBlue,151047
V000207,C02443,VM00001,2013,Peru,20504
V000208,C03573,VM00012,2018,Purple,183968
V000209,C02681,VM00010,2011,Teal,102818
V000210,C03018,VM00005,2021,Lavender,30032
V000211,C00630,VM00012,2015,FloralWhite,49174
V000212,C03414,VM00008,2015,LawnGreen,5453
V000213,C03597,VM00002,2013,Tomato,143705
V000214,C03138,VM00009,2019,LightCoral,8297
V000215,C02291,VM00009,2013,BlanchedAlmond,6221
V000216,C00224,VM00009,2012,LavenderBlush,90684
V000217,C00946,VM00001,2015,MediumOrchid,105860
V000218,C00306,VM00011,2015,Gold,85285
V000219,C01420,VM00011,2011,Plum,12249
V000220,C00440,VM00007,2019,GoldenRod,153918
V000221,C02574,VM00011,2015,MediumBlue,152682
V000222,C03646,VM00010,2005,DarkSalmon,103261
V000223,C00661,VM00011,2009,PaleVioletRed,23189
V000224,C00696,VM00012,2005,RoyalBlue,50191
V000225,C03045,VM00006,2020,Gainsboro,54409
V000226,C01765,VM00002,2005,SaddleBrown,171849
V000227,C01292,VM00004,2005,Orange,167757
V000228,C02632,VM00002,2010,MediumOrchid,135600
V000229,C03208,VM00010,2018,MediumSeaGreen,52654
V000230,C02156,VM00002,2022,Linen,145303
V000231,C00349,VM00005,2020,Pink,62245
V000232,C02868,VM00003,2017,MediumPurple,95504
V000233,C03210,VM00010,2022,Silver,30418
V000234,C01810,VM00007,2007,HotPink,184091
V000235,C01896,VM00008,2007,Brown,45546
V000236,C00716,VM00004,2022,Violet,162212
V000237,C02383,VM00001,2005,MediumSpringGreen,103085
V000238,C03921,VM00008,2019,DarkMagenta,155466
V000239,C02644,VM00005,2008,Khaki,51380
V000240,C02646,VM00007,2016,SlateBlue,120526
V000241,C00756,VM00009,2017,DarkSlateGray,190170
V000242,C01413,VM00012,2016,Red,51528
V000243,C01918,VM00007,2017,LightGoldenRodYellow,137993
V000244,C02176,VM00012,2010,Teal,44020
V000245,C00808,VM00004,2005,PaleTurquoise,121681
V000246,C01738,VM00009,2008,SeaGreen,12953
V000247,C00959,VM00007,2019,DarkRed,168075
V000248,C01702,VM00005,2016,MediumSpringGreen,15164
V000249,C02176,VM00007,2011,PapayaWhip,145925
V000250,C00439,VM00002,2019,DarkSlateGray,36531
V000251,C00523,VM00001,2005,IndianRed,86701
V000252,C00912,VM00012,2012,IndianRed,81396
V000253,C00072,VM00008,2005,LightSeaGreen,33252
V000254,C01333,VM00009,2013,SandyBrown,96502
V000255,C02829,VM00012,2016,LightCyan,184052
V000256,C00902,VM00002,2011,Azure,52295
V000257,C00609,VM00003,2007,OldLace,159692
V000258,C03449,VM00008,2014,Cyan,140918
V000259,C01341,VM00008,2012,GhostWhite,48879
V000260,C00567,VM00010,2012,AliceBlue,31141
V000261,C01744,VM00005,2020,Gainsboro,135456
V000262,C00200,VM00010,2016,LightGreen,55635
V000263,C00167,VM00002,2006,OldLace,163204
V000264,C00281,VM00008,2013,NavajoWhite,45698
V000265,C02602,VM00007,2020,RoyalBlue,165744
V000266,C00364,VM00006,2011,GhostWhite,93446
V000267,C02210,VM00006,2005,PeachPuff,124188
V000268,C02617,VM00009,2011,SaddleBrown,177618
V000269,C00439,VM00010,2017,Cornsilk,148649
V000270,C03640,VM00009,2008,ForestGreen,106933
V000271,C00759,VM00009,2013,Aquamarine,122423
V000272,C03760,VM00003,2023,PaleGreen,35508
V000273,C03694,VM00004,2021,DarkBlue,180297
V000274,C01002,VM00010,2020,MidnightBlue,150348
V000275,C03758,VM00002,2010,LightPink,22160
V000276,C00068,VM00007,2022,Aquamarine,93694
V000277,C01967,VM00012,2011,Chartreuse,69545
V000278,C00871,VM00003,2023,MediumSlateBlue,100864
V000279,C02151,VM00008,2023,SandyBrown,42062
V000280,C02156,VM00001,2010,MediumBlue,67770
V000281,C03844,VM00005,2007,DimGray,133651
V000282,C03379,VM00010,2023,SteelBlue,54372
V000283,C03822,VM00002,2009,HotPink,110980
V000284,C02300,VM00005,2007,DarkBlue,15902
V000285,C02693,VM00011,2009,YellowGreen,98931
V000286,C00251,VM00002,2013,SeaGreen,20367
V000287,C03828,VM00009,2023,Turquoise,130940
V000288,C03379,VM00006,2012,LightSeaGreen,177925
V000289,C00314,VM00007,2021,Lavender,190502
V000290,C02580,VM00003,2013,DeepPink,159962
V000291,C00581,VM00004,2011,GreenYellow,30894
V000292,C00682,VM00004,2005,HoneyDew,141273
V000293,C00358,VM00004,2022,AntiqueWhite,28842
V000294,C00558,VM00009,2013,DarkOliveGreen,178935
V000295,C01081,VM00011,2022,LightBlue,176652
V000296,C02563,VM00004,2019,MediumPurple,89031
V000297,C00815,VM00002,2005,SaddleBrown,143238
V000298,C03058,VM00007,2018,LimeGreen,152586
V000299,C03174,VM00008,2006,LightSkyBlue,155755
V000300,C03104,VM00003,2015,LightBlue,189079
V000301,C02795,VM00010,2018,SkyBlue,144441
V000302,C03243,VM00001,2018,DarkRed,141753
V000303,C03334,VM00001,2013,LavenderBlush,108333
V000304,C01702,VM00004,2008,Coral,148230
V000305,C01435,VM00008,2021,RoyalBlue,173610
V000306,C03868,VM00003,2019,Red,57673
V000307,C00523,VM00011,2020,DimGray,79071
V000308,C03891,VM00005,2016,SlateBlue,88969
V000309,C03376,VM00011,2021,Cornsilk,40514
V000310,C00390,VM00008,2006,Wheat,122415
V000311,C00247,VM00001,2012,Lime,56915
V000312,C00318,VM00012,2006,MidnightBlue,81797
V000313,C00130,VM00011,2013,DeepSkyBlue,169191
V000314,C01815,VM00010,2018,HoneyDew,116757
V000315,C03288,VM00011,2022,DarkBlue,110968
V000316,C02617,VM00005,2019,BlueViolet,119069
V000317,C01118,VM00002,2015,DarkSalmon,103845
V000318,C01363,VM00012,2005,HoneyDew,26597
V000319,C00732,VM00010,2017,PapayaWhip,133572
V000320,C03719,VM00006,2011,SandyBrown,11247
V000321,C03538,VM00002,2015,White,133775
V000322,C00193,VM00004,2007,DarkOliveGreen,32346
V000323,C02972,VM00001,2023,HoneyDew,89283
V000324,C01426,VM00008,2005,Salmon,152129
V000325,C02884,VM00005,2012,DarkMagenta,131905
V000326,C00210,VM00006,2018,Moccasin,164819
V000327,C00142,VM00006,2007,Wheat,106923
V000328,C02413,VM00003,2012,Blue,85189
V000329,C03763,VM00010,2011,LimeGreen,135446
V000330,C02362,VM00001,2010,Brown,80286
V000331,C00328,VM00011,2015,MediumSlateBlue,184320
V000332,C00274,VM00001,2014,Silver,188212
V000333,C02490,VM00004,2007,DarkTurquoise,19448
V000334,C02575,VM00006,2008,DarkGray,143294
V000335,C02965,VM00010,2005,YellowGreen,15913
V000336,C01891,VM00003,2020,White,54303
V000337,C00479,VM00011,2018,ForestGreen,28379
V000338,C01318,VM00001,2005,PowderBlue,85509
V000339,C02067,VM00006,2023,Aqua,159001
V000340,C00116,VM00008,2015,GreenYellow,154756
V000341,C02092,VM00011,2013,DarkTurquoise,147288
V000342,C03292,VM00001,2012,SlateBlue,50444
V000343,C01522,VM00009,2008,DarkSlateGray,173016
V000344,C02572,VM00004,2020,LightGoldenRodYellow,87222
V000345,C00506,VM00010,2012,White,198791
V000346,C00342,VM00011,2015,Purple,17571
V000347,C03980,VM00003,2006,MediumSlateBlue,145061
V000348,C02842,VM00011,2015,MediumAquaMarine,12330
V000349,C00259,VM00003,2021,LawnGreen,17375
V000350,C03429,VM00007,2012,LightPink,84415
V000351,C03593,VM00004,2007,MediumSlateBlue,105899
V000352,C03491,VM00012,2019,DarkGray,54345
V000353,C03861,VM00001,2008,LavenderBlush,97213
V000354,C03595,VM00004,2019,Peru,145971
V000355,C01323,VM00001,2023,PaleGoldenRod,18745
V000356,C00096,VM00008,2008,MediumAquaMarine,184349
V000357,C02721,VM00009,2007,Indigo,118719
V000358,C02868,VM00004,2006,DarkMagenta,198603
V000359,C01241,VM00011,2006,Azure,138267
V000360,C00440,VM00008,2017,Blue,142359
V000361,C00679,VM00002,2015,MediumBlue,51737
V000362,C03385,VM00011,2007,Pink,138364
V000363,C00662,VM00007,2009,Silver,102209
V000364,C02972,VM00005,2006,Violet,183555
V000365,C03498,VM00003,2019,FloralWhite,188286
V000366,C01408,VM00012,2006,Purple,16723
V000367,C00245,VM00010,2014,HotPink,61228
V000368,C03438,VM00005,2018,Cyan,30860
V000369,C00311,VM00012,2007,DarkOrange,124861
V000370,C00466,VM00007,2008,DarkSlateBlue,53681
V000371,C04000,VM00002,2006,Aquamarine,63082
V000372,C00683,VM00003,2022,DarkMagenta,191754
V000373,C03709,VM00011,2006,NavajoWhite,88967
V000374,C02064,VM00006,2014,BurlyWood,24126
V000375,C01867,VM00011,2017,MediumBlue,192179
V000376,C03185,VM00008,2017,LightBlue,58374
V000377,C03134,VM00010,2008,PeachPuff,134833
V000378,C03821,VM00009,2018,Sienna,59194
V000379,C01358,VM00011,2012,LightGray,154722
V000380,C00246,VM00011,2005,Plum,172882
V000381,C02136,VM00002,2019,Black,165698
V000382,C00745,VM00012,2017,Beige,9087
V000383,C01620,VM00003,2019,DarkMagenta,16857
V000384,C01915,VM00004,2018,SteelBlue,105004
V000385,C03286,VM00004,2008,Brown,59009
V000386,C00171,VM00002,2015,DarkGray,185719
V000387,C00800,VM00011,2005,PapayaWhip,35495
V000388,C02319,VM00007,2019,MediumAquaMarine,81137
V000389,C00226,VM00001,2021,AliceBlue,6242
V000390,C02413,VM00004,2015,Salmon,68016
V000391,C01987,VM00001,2023,Magenta,177908
V000392,C01009,VM00009,2011,Orchid,91704
V000393,C02285,VM00012,2008,SteelBlue,51414
V000394,C00034,VM00010,2008,Azure,107214
V000395,C01798,VM00010,2005,Sienna,64866
V000396,C02526,VM00003,2007,LightGoldenRodYellow,102460
V000397,C02415,VM00011,2023,SteelBlue,110371
V000398,C00388,VM00011,2011,Teal,16732
V000399,C01165,VM00006,2023,DodgerBlue,45875
V000400,C02479,VM00007,2009,PaleTurquoise,42137
V000401,C03910,VM00004,2021,Salmon,161959
V000402,C00986,VM00011,2013,Turquoise,69532
V000403,C02019,VM00002,2016,FloralWhite,167991
V000404,C03733,VM00002,2018,BurlyWood,180251
V000405,C03660,VM00005,2020,Aqua,72681
V000406,C03983,VM00001,2019,HotPink,115845
V000407,C00441,VM00003,2010,Violet,183361
V000408,C02459,VM00012,2012,DimGray,154563
V000409,C00382,VM00002,2009,MediumBlue,191167
V000410,C00130,VM00006,2006,Pink,169152
V000411,C01130,VM00004,2006,Silver,86196
V000412,C01516,VM00001,2009,Orange,58707
V000413,C00454,VM00009,2014,Navy,176268
V000414,C01242,VM00001,2023,Violet,198104
V000415,C00501,VM00005,2018,AliceBlue,76464
V000416,C01048,VM00001,2021,Moccasin,112270
V000417,C01563,VM00003,2016,Teal,185953
V000418,C02885,VM00008,2014,MediumSlateBlue,7681
V000419,C02204,VM00007,2023,LightGoldenRodYellow,114022
V000420,C02055,VM00002,2022,Peru,113433
V000421,C03251,VM00008,2009,MistyRose,103862
V000422,C00496,VM00008,2009,Peru,77898
V000423,C03227,VM00009,2020,Lime,54675
V000424,C02027,VM00002,2014,DarkSalmon,132983
V000425,C01303,VM00003,2015,Azure,71433
V000426,C03080,VM00012,2014,LightSalmon,162320
V000427,C01678,VM00009,2016,Silver,7734
V000428,C00264,VM00010,2005,Maroon,169242
V000429,C00173,VM00004,2021,LavenderBlush,186540
V000430,C02319,VM00004,2023,FireBrick,108669
V000431,C01431,VM00003,2009,LightPink,15957
V000432,C02276,VM00004,2006,GhostWhite,187452
V000433,C00932,VM00005,2012,Lavender,122736
V000434,C03252,VM00006,2021,Silver,38787
V000435,C03971,VM00005,2022,SeaGreen,178791
V000436,C01212,VM00003,2006,SlateGray,185748
V000437,C02210,VM00011,2018,Tomato,63451
V000438,C02961,VM00003,2016,MediumAquaMarine,23487
V000439,C00981,VM00012,2011,MediumSpringGreen,172142
V000440,C01390,VM00004,2011,LightGoldenRodYellow,34984
V000441,C03813,VM00011,2011,MediumSlateBlue,35219
V000442,C02442,VM00011,2007,SaddleBrown,46660
V000443,C00268,VM00002,2015,PaleTurquoise,133066
V000444,C03345,VM00012,2011,LightBlue,22432
V000445,C00653,VM00008,2020,PowderBlue,53066
V000446,C01916,VM00011,2019,LightPink,145755
V000447,C01375,VM00008,2015,GhostWhite,90820
V000448,C03588,VM00009,2023,MediumSlateBlue,48874
V000449,C00934,VM00002,2023,DarkSlateGray,199010
V000450,C03935,VM00007,2015,DarkGoldenRod,72239
V000451,C01709,VM00003,2014,Thistle,183495
V000452,C03052,VM00002,2018,WhiteSmoke,192439
V000453,C00758,VM00012,2015,DarkGreen,187195
V000454,C01234,VM00005,2010,Blue,109386
V000455,C03784,VM00003,2008,GhostWhite,79660
V000456,C03553,VM00008,2019,LightYellow,145577
V000457,C01938,VM00007,2006,DarkSlateGray,80088
V000458,C02516,VM00006,2020,Gray,79633
V000459,C02530,VM00011,2012,Plum,154450
V000460,C03045,VM00007,2005,DarkGray,73550
V000461,C00230,VM00006,2012,Gray,33440
V000462,C01450,VM00008,2012,AntiqueWhite,36300
V000463,C00751,VM00001,2019,LightGreen,108522
V000464,C03134,VM00008,2011,LightCoral,57986
V000465,C00941,VM00007,2012,CadetBlue,27676
V000466,C02797,VM00003,2020,Lime,150424
V000467,C00791,VM00002,2015,PowderBlue,135539
V000468,C03856,VM00012,2017,Cyan,57635
V000469,C02999,VM00005,2011,SeaGreen,38322
V000470,C02706,VM00002,2017,HoneyDew,140849
V000471,C02954,VM00007,2010,OliveDrab,14357
V000472,C01262,VM00004,2005,Gold,127934
V000473,C01952,VM00006,2016,Silver,130519
V000474,C01383,VM00001,2005,SandyBrown,33663
V000475,C00056,VM00011,2007,IndianRed,34204
V000476,C03298,VM00003,2016,Red,64937
V000477,C03169,VM00002,2005,MediumPurple,14969
V000478,C03108,VM00005,2022,Silver,106728
V000479,C03334,VM00003,2008,Chocolate,53359
V000480,C02365,VM00002,2009,LightYellow,26917
V000481,C03485,VM00001,2014,Azure,186827
V000482,C00287,VM00007,2019,GreenYellow,22668
V000483,C03661,VM00011,2011,Azure,68373
V000484,C01983,VM00002,2023,MediumBlue,119281
V000485,C02256,VM00002,2016,Chocolate,166302
V000486,C00792,VM00005,2006,Plum,102229
V000487,C01459,VM00002,2005,DimGray,119847
V000488,C02995,VM00001,2011,Sienna,198553
V000489,C01728,VM00012,2011,Plum,42423
V000490,C00785,VM00007,2014,Olive,120873
V000491,C03764,VM00005,2010,Chocolate,161500
V000492,C02649,VM00006,2012,Aquamarine,15761
V000493,C01545,VM00006,2013,CornflowerBlue,178769
V000494,C03810,VM00009,2010,Red,137020
V000495,C03446,VM00003,2015,YellowGreen,54537
V000496,C01107,VM00001,2022,SeaGreen,60163
V000497,C03456,VM00001,2012,Olive,195030
V000498,C00144,VM00011,2010,Orange,88341
V000499,C02584,VM00010,2011,MidnightBlue,16470
V000500,C03833,VM00005,2005,DarkBlue,154107
V000501,C02586,VM00002,2010,DodgerBlue,8725
V000502,C02743,VM00012,2013,LightGreen,45032
V000503,C01512,VM00003,2008,Azure,94482
V000504,C02161,VM00005,2005,Gold,70746
V000505,C03849,VM00005,2009,Magenta,51013
V000506,C01355,VM00006,2017,DarkSalmon,96781
V000507,C02073,VM00002,2008,DarkSeaGreen,126119
V000508,C02264,VM00007,2015,CornflowerBlue,57599
V000509,C00300,VM00002,2011,LightBlue,173856
V000510,C00412,VM00010,2014,SeaShell,19792
V000511,C02234,VM00005,2019,DarkGoldenRod,107580
V000512,C01521,VM00007,2012,LightGreen,104623
V000513,C01435,VM00006,2016,Thistle,45133
V000514,C01845,VM00004,2016,Maroon,81495
V000515,C01947,VM00008,2010,DarkViolet,137538
V000516,C00348,VM00001,2021,Thistle,21685
V000517,C01929,VM00010,2018,DarkBlue,64044
V000518,C00096,VM00003,2007,RosyBrown,53224
V000519,C01813,VM00004,2008,DarkSlateBlue,169420
V000520,C03456,VM00012,2009,CornflowerBlue,55944
V000521,C01849,VM00009,2009,Gainsboro,93051
V000522,C01479,VM00011,2011,Bisque,177493
V000523,C01935,VM00008,2011,Moccasin,194053
V000524,C01746,VM00010,2022,Black,120047
V000525,C03675,VM00009,2017,Wheat,11634
V000526,C01776,VM00004,2016,Ivory,120482
V000527,C03725,VM00003,2015,LawnGreen,23188
V000528,C00540,VM00011,2018,Azure,69428
V000529,C03731,VM00004,2012,ForestGreen,162721
V000530,C01892,VM00003,2006,MediumOrchid,143557
V000531,C00293,VM00012,2023,LightCoral,80446
V000532,C00239,VM00004,2011,YellowGreen,150975
V000533,C03486,VM00012,2022,PowderBlue,47230
V000534,C03325,VM00007,2014,Green,42581
V000535,C02907,VM00008,2009,MediumPurple,148425
V000536,C01598,VM00008,2015,MediumSlateBlue,88244
V000537,C00424,VM00001,2012,SandyBrown,19867
V000538,C03873,VM00010,2006,HotPink,34193
V000539,C00139,VM00009,2013,Aquamarine,184506
V000540,C01168,VM00010,2009,Purple,22073
V000541,C00707,VM00006,2021,LimeGreen,112459
V000542,C03188,VM00004,2023,LightGoldenRodYellow,140802
V000543,C03119,VM00005,2020,DarkOliveGreen,145056
V000544,C00136,VM00003,2011,DarkOliveGreen,9577
V000545,C01024,VM00006,2007,Peru,167158
V000546,C00086,VM00012,2020,Orange,193870
V000547,C01937,VM00002,2007,LightGray,49542
