request_id,vehicle_id,service_type_id,mechanic_id,customer_id,charge_per_hour,total_payment
SR00035,V005431,ST00003,M00073,C02843,49.12,49.12
SR00036,V004654,ST00005,M00024,C03864,61.66,61.66
SR00037,V005977,ST00006,M00097,C00725,85.46,170.92
SR00038,V000126,ST00003,M00062,C00262,98.15,98.15
SR00039,V002056,ST00001,M00028,C02867,90.13,180.26
SR00040,V002644,ST00003,M00007,C03373,54.88,54.88
SR00041,V002165,ST00006,M00081,C03940,21.12,42.24
SR00042,V004706,ST00004,M00062,C01201,66.82,200.46
SR00043,V000403,ST00001,M00032,C02060,37.3,74.6
SR00044,V003562,ST00002,M00095,C03727,99.77,99.77
SR00045,V002640,ST00003,M00080,C03019,42.61,42.61
SR00046,V002467,ST00007,M00031,C02216,61.1,244.4
SR00047,V005889,ST00003,M00058,C01305,78.65,78.65
SR00048,V004071,ST00007,M00005,C00359,84.21,336.84
SR00049,V004310,ST00004,M00062,C01108,57.75,173.25
SR00050,V001201,ST00004,M00027,C01391,37.45,112.35
SR00051,V004989,ST00002,M00037,C03364,88.02,88.02
SR00052,V001203,ST00005,M00072,C02001,28.99,28.99
SR00053,V002464,ST00001,M00042,C02861,86.66,173.32
SR00054,V000460,ST00004,M00098,C02332,66.1,198.3
SR00055,V005369,ST00002,M00054,C03610,88.15,88.15
SR00056,V005037,ST00007,M00062,C01332,53.17,212.68
SR00057,V004111,ST00005,M00043,C01647,52.46,52.46
SR00058,V004285,ST00004,M00069,C00186,71.56,214.68
SR00059,V003172,ST00003,M00040,C01413,21.89,21.89
SR00060,V003503,ST00004,M00084,C01723,95.56,286.68
SR00061,V003303,ST00003,M00073,C03137,58.51,58.51
SR00062,V000605,ST00006,M00077,C00134,49.54,99.08
SR00063,V005405,ST00004,M00001,C01965,46.87,140.61
SR00064,V000885,ST00001,M00082,C00990,24.07,48.14
SR00065,V004327,ST00007,M00008,C01912,23.96,95.84
SR00066,V003638,ST00007,M00091,C01800,84.93,339.72
SR00067,V000471,ST00007,M00086,C03975,58.76,235.04
SR00068,V000110,ST00005,M00076,C03903,49.17,49.17
SR00069,V003591,ST00001,M00062,C03942,69.27,138.54
SR00070,V002208,ST00007,M00033,C00343,75.35,301.4
SR00071,V005021,ST00001,M00076,C03121,72.72,145.44
SR00072,V004541,ST00007,M00076,C00491,21.26,85.04
SR00073,V004975,ST00002,M00029,C02076,57.63,57.63
SR00074,V000104,ST00005,M00057,C02210,20.46,20.46
SR00075,V000110,ST00003,M00045,C03700,32.43,32.43
SR00076,V003405,ST00006,M00058,C00740,22.85,45.7
SR00077,V000749,ST00006,M00073,C02648,91.58,183.16
SR00078,V004509,ST00006,M00020,C01033,56.21,112.42
SR00079,V000324,ST00005,M00063,C03596,26.96,26.96
SR00080,V001253,ST00001,M00008,C00666,31.36,62.72
SR00081,V000265,ST00003,M00092,C00115,28.92,28.92
SR00082,V001554,ST00006,M00065,C03474,84.36,168.72
SR00083,V000942,ST00001,M00048,C01305,43.09,86.18
SR00084,V003061,ST00001,M00048,C03303,85.92,171.84
SR00085,V003029,ST00002,M00025,C03601,59.91,59.91
SR00086,V003539,ST00004,M00095,C00502,65.5,196.5
SR00087,V003807,ST00002,M00010,C00739,66.3,66.3
SR00088,V003784,ST00007,M00049,C01534,70.47,281.88
SR00089,V002597,ST00003,M00051,C02899,74.82,74.82
SR00090,V001521,ST00006,M00045,C00965,99.15,198.3
SR00091,V000944,ST00001,M00008,C00665,76.27,152.54
SR00092,V003366,ST00005,M00038,C00564,69.77,69.77
SR00093,V001601,ST00007,M00030,C00036,89.92,359.68
SR00094,V003011,ST00007,M00039,C01642,46.22,184.88
SR00095,V005075,ST00007,M00035,C02619,32.62,130.48
SR00096,V001289,ST00004,M00070,C00464,85.86,257.58
SR00097,V005127,ST00003,M00038,C03707,79.31,79.31
SR00098,V002103,ST00001,M00052,C02365,30.08,60.16
SR00099,V002296,ST00002,M00056,C01034,39.71,39.71
SR00100,V002468,ST00005,M00094,C02794,78.31,78.31
SR00101,V002912,ST00005,M00015,C03023,39.72,39.72
SR00102,V000237,ST00006,M00082,C00436,51.62,103.24
SR00103,V003692,ST00004,M00014,C01831,65.93,197.79
SR00104,V003560,ST00002,M00057,C03764,97.28,97.28
SR00105,V002648,ST00002,M00060,C03561,37.14,37.14
SR00106,V002512,ST00005,M00012,C00951,80.16,80.16
SR00107,V003740,ST00001,M00053,C01951,22.38,44.76
SR00108,V004325,ST00004,M00020,C03085,57.71,173.13
SR00109,V004196,ST00003,M00031,C02939,83.86,83.86
SR00110,V004731,ST00003,M00008,C00428,61.2,61.2
SR00111,V000799,ST00003,M00024,C03719,82.56,82.56
SR00112,V002594,ST00005,M00036,C03765,69.36,69.36
SR00113,V003043,ST00005,M00066,C01174,47.65,47.65
SR00114,V005108,ST00006,M00020,C02669,60.19,120.38
SR00115,V001976,ST00003,M00074,C01048,70.45,70.45
SR00116,V005102,ST00004,M00065,C02819,73.37,220.11
SR00117,V004386,ST00002,M00012,C00758,93.61,93.61
SR00118,V004792,ST00004,M00028,C03589,73.18,219.54
SR00119,V003820,ST00003,M00089,C00466,22.04,22.04
SR00120,V004024,ST00004,M00024,C01183,83.95,251.85
SR00121,V002971,ST00004,M00006,C03414,85.51,256.53
SR00122,V005577,ST00004,M00017,C00093,22.46,67.38
SR00123,V005463,ST00006,M00092,C00641,62.74,125.48
SR00124,V000963,ST00004,M00064,C00171,77.91,233.73
SR00125,V002519,ST00005,M00019,C02435,41.02,41.02
SR00126,V001093,ST00007,M00093,C00696,70.0,280.0
SR00127,V002615,ST00002,M00093,C00263,38.49,38.49
SR00128,V005880,ST00002,M00046,C02864,77.85,77.85
SR00129,V004098,ST00001,M00062,C00240,55.01,110.02
SR00130,V000173,ST00006,M00044,C02990,99.62,199.24
SR00131,V004074,ST00006,M00022,C00531,82.22,164.44
SR00132,V002423,ST00007,M00024,C02649,46.34,185.36
SR00133,V001189,ST00005,M00053,C02956,30.16,30.16
SR00134,V001300,ST00006,M00023,C02054,58.71,117.42
SR00135,V000936,ST00004,M00041,C01009,68.18,204.54
SR00136,V001323,ST00004,M00041,C02927,30.89,92.67
SR00137,V000011,ST00002,M00038,C01065,59.08,59.08
SR00138,V001573,ST00002,M00068,C03961,83.78,83.78
SR00139,V003843,ST00006,M00029,C02102,75.16,150.32
SR00140,V001749,ST00004,M00016,C01723,76.87,230.61
SR00141,V003388,ST00002,M00041,C00771,58.75,58.75
SR00142,V000100,ST00004,M00023,C02816,34.83,104.49
SR00143,V000091,ST00003,M00092,C03515,31.82,31.82
SR00144,V000870,ST00004,M00018,C02805,84.04,252.12
SR00145,V002474,ST00006,M00073,C01526,99.73,199.46
SR00146,V002639,ST00005,M00028,C01302,39.05,39.05
SR00147,V001529,ST00002,M00005,C03659,45.61,45.61
SR00148,V001983,ST00004,M00015,C01809,82.17,246.51
SR00149,V001449,ST00002,M00013,C03392,51.39,51.39
SR00150,V002001,ST00007,M00063,C02786,89.21,356.84
SR00151,V001074,ST00001,M00077,C03198,35.01,70.02
SR00152,V005107,ST00001,M00050,C03812,89.9,179.8
SR00153,V000895,ST00003,M00069,C02656,65.34,65.34
SR00154,V002361,ST00003,M00099,C02020,92.61,92.61
SR00155,V001096,ST00001,M00047,C03054,40.29,80.58
SR00156,V005224,ST00007,M00013,C01288,27.73,110.92
SR00157,V000278,ST00004,M00039,C01065,76.37,229.11
SR00158,V002164,ST00007,M00045,C00772,51.57,206.28
SR00159,V000824,ST00003,M00008,C02568,85.19,85.19
SR00160,V003994,ST00003,M00095,C01859,99.1,99.1
SR00161,V004820,ST00007,M00071,C03555,82.51,330.04
SR00162,V001739,ST00005,M00046,C03563,53.77,53.77
SR00163,V005887,ST00001,M00034,C00736,63.73,127.46
SR00164,V004692,ST00003,M00080,C03798,33.88,33.88
SR00165,V002688,ST00001,M00084,C02442,96.73,193.46
SR00166,V001800,ST00004,M00010,C02903,86.66,259.98
SR00167,V004187,ST00006,M00018,C01306,82.66,165.32
SR00168,V002390,ST00005,M00038,C03722,90.3,90.3
SR00169,V001575,ST00007,M00095,C01185,37.98,151.92
SR00170,V000123,ST00006,M00071,C00263,66.48,132.96
SR00171,V003961,ST00002,M00056,C02929,54.09,54.09
SR00172,V000580,ST00004,M00056,C02707,77.72,233.16
SR00173,V005649,ST00002,M00072,C00678,95.95,95.95
SR00174,V004183,ST00002,M00007,C03858,96.03,96.03
SR00175,V002489,ST00006,M00089,C03796,86.24,172.48
SR00176,V003363,ST00007,M00008,C03239,45.9,183.6
SR00177,V003532,ST00003,M00014,C01325,31.92,31.92
SR00178,V000096,ST00001,M00044,C02949,66.0,132.0
SR00179,V004970,ST00002,M00052,C00720,51.61,51.61
SR00180,V000209,ST00001,M00031,C00398,44.39,88.78
SR00181,V001997,ST00003,M00015,C03052,96.77,96.77
SR00182,V005863,ST00002,M00035,C00330,25.26,25.26
SR00183,V002707,ST00001,M00028,C03906,74.42,148.84
SR00184,V000902,ST00004,M00060,C03016,60.96,182.88
SR00185,V005318,ST00002,M00060,C00488,36.98,36.98
SR00186,V002207,ST00001,M00003,C03274,91.72,183.44
SR00187,V004894,ST00005,M00086,C03033,72.67,72.67
SR00188,V000417,ST00005,M00014,C03718,56.28,56.28
SR00189,V005359,ST00005,M00040,C03844,35.46,35.46
SR00190,V001707,ST00005,M00028,C02848,65.87,65.87
SR00191,V001790,ST00007,M00066,C03856,66.64,266.56
SR00192,V001906,ST00005,M00076,C01621,26.98,26.98
SR00193,V000796,ST00002,M00021,C02388,41.05,41.05
SR00194,V002025,ST00002,M00093,C03354,51.97,51.97
SR00195,V004663,ST00006,M00002,C01803,94.11,188.22
SR00196,V001599,ST00007,M00093,C02931,88.83,355.32
SR00197,V003124,ST00004,M00039,C03960,82.02,246.06
SR00198,V000292,ST00002,M00038,C00778,94.98,94.98
SR00199,V002915,ST00002,M00052,C03523,54.61,54.61
SR00200,V005716,ST00003,M00026,C03587,75.6,75.6
SR00201,V003877,ST00002,M00041,C01621,88.62,88.62
SR00202,V001215,ST00005,M00069,C01642,47.22,47.22
SR00203,V005991,ST00002,M00043,C01517,92.46,92.46
SR00204,V000432,ST00002,M00017,C01116,25.07,25.07
SR00205,V005568,ST00003,M00012,C00015,50.26,50.26
SR00206,V003692,ST00003,M00012,C03047,90.58,90.58
SR00207,V001651,ST00006,M00007,C03060,89.61,179.22
SR00208,V000727,ST00007,M00016,C03794,71.9,287.6
SR00209,V000583,ST00002,M00064,C02629,48.85,48.85
SR00210,V002960,ST00005,M00077,C03652,69.6,69.6
SR00211,V005508,ST00006,M00091,C02152,95.12,190.24
SR00212,V005879,ST00001,M00076,C00137,66.44,132.88
SR00213,V003382,ST00004,M00022,C00176,95.32,285.96
SR00214,V004011,ST00001,M00008,C03720,67.76,135.52
SR00215,V003380,ST00002,M00059,C01141,99.86,99.86
SR00216,V005601,ST00002,M00062,C00808,53.0,53.0
SR00217,V001435,ST00006,M00005,C02097,55.43,110.86
SR00218,V001950,ST00002,M00045,C01617,24.92,24.92
SR00219,V004120,ST00001,M00063,C03137,34.7,69.4
SR00220,V003502,ST00002,M00062,C01353,35.78,35.78
SR00221,V002941,ST00007,M00094,C00752,41.98,167.92
SR00222,V004358,ST00003,M00019,C01669,44.51,44.51
SR00223,V001087,ST00002,M00080,C03497,76.74,76.74
SR00224,V003319,ST00006,M00061,C02141,83.44,166.88
SR00225,V001920,ST00001,M00048,C01172,47.8,95.6
SR00226,V000215,ST00001,M00025,C00348,28.33,56.66
SR00227,V000791,ST00007,M00029,C02257,43.15,172.6
SR00228,V005798,ST00004,M00028,C03052,56.02,168.06
SR00229,V003086,ST00002,M00083,C03019,20.36,20.36
SR00230,V000636,ST00002,M00043,C01761,41.51,41.51
SR00231,V004128,ST00007,M00054,C03957,90.99,363.96
SR00232,V000464,ST00002,M00047,C02958,40.16,40.16
SR00233,V001548,ST00003,M00058,C00113,32.41,32.41
SR00234,V000282,ST00007,M00025,C01298,68.57,274.28
SR00235,V005501,ST00005,M00020,C00825,88.13,88.13
SR00236,V001763,ST00006,M00076,C02527,32.43,64.86
SR00237,V004291,ST00003,M00040,C00164,35.8,35.8
SR00238,V003587,ST00003,M00050,C03881,59.8,59.8
SR00239,V004758,ST00003,M00004,C03550,57.55,57.55
SR00240,V002249,ST00003,M00016,C00186,41.73,41.73
SR00241,V001292,ST00001,M00020,C02551,92.05,184.1
SR00242,V003260,ST00003,M00094,C00008,31.83,31.83
SR00243,V001730,ST00001,M00066,C03849,31.61,63.22
SR00244,V005528,ST00002,M00069,C03371,88.63,88.63
SR00245,V002316,ST00006,M00089,C01477,74.38,148.76
SR00246,V000063,ST00007,M00034,C02304,30.5,122.0
SR00247,V005997,ST00004,M00044,C03095,71.66,214.98
SR00248,V002903,ST00007,M00024,C01134,84.81,339.24
SR00249,V002416,ST00003,M00097,C03807,83.52,83.52
SR00250,V004040,ST00006,M00076,C02148,87.31,174.62
SR00251,V002931,ST00005,M00050,C03140,35.34,35.34
SR00252,V003052,ST00005,M00090,C00379,61.06,61.06
SR00253,V000596,ST00004,M00075,C01001,73.45,220.35
SR00254,V002726,ST00001,M00082,C01689,89.91,179.82
SR00255,V005425,ST00003,M00030,C02791,74.6,74.6
SR00256,V003294,ST00003,M00029,C03086,22.26,22.26
SR00257,V005095,ST00003,M00065,C02640,38.61,38.61
SR00258,V004261,ST00007,M00079,C02427,55.5,222.0
SR00259,V001843,ST00005,M00034,C03514,28.32,28.32
SR00260,V001283,ST00001,M00064,C01416,46.13,92.26
SR00261,V001536,ST00001,M00094,C01713,22.5,45.0
SR00262,V004990,ST00003,M00024,C03148,34.13,34.13
SR00263,V004739,ST00004,M00055,C01299,94.25,282.75
SR00264,V000592,ST00006,M00076,C03695,63.24,126.48
SR00265,V005753,ST00002,M00096,C01696,78.3,78.3
SR00266,V004485,ST00007,M00062,C01407,46.15,184.6
SR00267,V000549,ST00003,M00007,C03943,60.49,60.49
SR00268,V001335,ST00007,M00061,C01678,36.46,145.84
SR00269,V004153,ST00002,M00092,C01624,33.46,33.46
SR00270,V005148,ST00007,M00024,C01621,28.09,112.36
SR00271,V000057,ST00005,M00100,C00981,43.87,43.87
SR00272,V004986,ST00006,M00059,C00813,36.58,73.16
SR00273,V000559,ST00007,M00080,C00185,96.48,385.92
SR00274,V004617,ST00003,M00002,C02828,27.01,27.01
SR00275,V000693,ST00003,M00070,C03926,37.41,37.41
SR00276,V003837,ST00005,M00063,C02264,72.02,72.02
SR00277,V003849,ST00002,M00031,C00039,78.55,78.55
SR00278,V005716,ST00001,M00027,C00672,98.78,197.56
SR00279,V000236,ST00005,M00084,C03812,76.72,76.72
SR00280,V000657,ST00006,M00092,C01360,99.7,199.4
SR00281,V004714,ST00005,M00025,C01046,25.24,25.24
SR00282,V005636,ST00005,M00069,C00880,55.16,55.16
SR00283,V004310,ST00006,M00082,C01919,26.23,52.46
SR00284,V001532,ST00002,M00011,C00852,73.9,73.9
SR00285,V003994,ST00007,M00092,C00418,70.62,282.48
SR00286,V003794,ST00002,M00049,C03524,25.16,25.16
SR00287,V005296,ST00002,M00078,C01604,100.0,100.0
SR00288,V000948,ST00007,M00062,C01838,38.42,153.68
SR00289,V003741,ST00007,M00087,C01719,84.51,338.04
SR00290,V004840,ST00006,M00046,C02499,80.78,161.56
SR00291,V002753,ST00002,M00008,C02053,40.9,40.9
SR00292,V003313,ST00001,M00058,C01892,70.26,140.52
SR00293,V004066,ST00003,M00072,C01285,76.13,76.13
SR00294,V004250,ST00002,M00030,C00512,89.73,89.73
SR00295,V002700,ST00006,M00089,C03029,89.23,178.46
SR00296,V005191,ST00002,M00066,C02775,36.89,36.89
SR00297,V004596,ST00005,M00068,C02915,94.94,94.94
SR00298,V003586,ST00007,M00054,C03186,70.7,282.8
SR00299,V003251,ST00007,M00095,C03130,95.6,382.4
SR00300,V003579,ST00002,M00045,C01270,33.31,33.31
SR00301,V001007,ST00007,M00045,C02980,44.22,176.88
SR00302,V001267,ST00007,M00072,C01629,58.78,235.12
SR00303,V000658,ST00002,M00078,C01075,52.81,52.81
SR00304,V005827,ST00002,M00080,C03952,65.72,65.72
SR00305,V003691,ST00002,M00097,C01622,31.26,31.26
SR00306,V004009,ST00007,M00015,C00095,73.92,295.68
SR00307,V005853,ST00001,M00081,C02861,22.61,45.22
SR00308,V002318,ST00001,M00027,C03487,93.84,187.68
SR00309,V005959,ST00005,M00042,C01618,30.64,30.64
SR00310,V002116,ST00004,M00039,C00760,95.73,287.19
SR00311,V002545,ST00006,M00051,C03741,67.35,134.7
SR00312,V000888,ST00001,M00091,C01292,78.07,156.14
SR00313,V002831,ST00007,M00052,C02922,47.28,189.12
SR00314,V003094,ST00007,M00083,C02751,64.08,256.32
SR00315,V002949,ST00004,M00045,C00292,23.32,69.96
SR00316,V003685,ST00002,M00019,C00129,94.34,94.34
SR00317,V002343,ST00004,M00018,C01101,94.5,283.5
SR00318,V001756,ST00006,M00067,C02240,47.73,95.46
SR00319,V003943,ST00003,M00073,C03835,29.48,29.48
SR00320,V002752,ST00003,M00059,C03880,64.53,64.53
SR00321,V004916,ST00004,M00044,C00717,65.83,197.49
SR00322,V004325,ST00001,M00029,C03112,74.94,149.88
SR00323,V001505,ST00005,M00092,C02066,28.0,28.0
SR00324,V002401,ST00005,M00032,C00218,65.14,65.14
SR00325,V004366,ST00001,M00079,C00304,71.55,143.1
SR00326,V000612,ST00004,M00086,C02743,97.75,293.25
SR00327,V001767,ST00005,M00100,C01869,54.18,54.18
SR00328,V001192,ST00004,M00052,C03065,34.08,102.24
SR00329,V004413,ST00002,M00072,C01175,95.31,95.31
SR00330,V000954,ST00006,M00072,C01425,67.75,135.5
SR00331,V004144,ST00001,M00055,C01247,35.64,71.28
SR00332,V000116,ST00001,M00008,C01773,93.62,187.24
SR00333,V000777,ST00002,M00009,C02467,45.78,45.78
SR00334,V001483,ST00006,M00007,C01642,78.37,156.74
SR00335,V005046,ST00007,M00021,C01652,47.1,188.4
SR00336,V005624,ST00007,M00044,C00731,36.02,144.08
SR00337,V002999,ST00005,M00051,C01740,93.65,93.65
SR00338,V002882,ST00003,M00087,C01203,97.31,97.31
SR00339,V004113,ST00004,M00084,C03718,28.88,86.64
SR00340,V002235,ST00006,M00076,C02197,37.84,75.68
SR00341,V005469,ST00007,M00068,C02341,57.28,229.12
SR00342,V002251,ST00001,M00022,C02606,43.26,86.52
SR00343,V002596,ST00003,M00080,C03995,50.88,50.88
SR00344,V003666,ST00001,M00076,C01965,54.49,108.98
SR00345,V001551,ST00002,M00095,C00818,54.35,54.35
SR00346,V002661,ST00007,M00057,C03844,20.87,83.48
SR00347,V001361,ST00007,M00089,C02643,41.82,167.28
SR00348,V003200,ST00002,M00055,C00023,38.12,38.12
SR00349,V002160,ST00004,M00096,C00430,74.56,223.68
SR00350,V000286,ST00003,M00074,C00757,58.73,58.73
SR00351,V003664,ST00005,M00078,C00852,73.46,73.46
SR00352,V000886,ST00002,M00057,C03113,75.55,75.55
SR00353,V005718,ST00001,M00100,C00261,38.95,77.9
SR00354,V005897,ST00006,M00012,C03388,57.57,115.14
SR00355,V002496,ST00007,M00037,C02906,30.16,120.64
SR00356,V005139,ST00001,M00056,C02527,76.06,152.12
SR00357,V004678,ST00007,M00067,C02772,58.71,234.84
SR00358,V000687,ST00006,M00074,C03237,53.41,106.82
SR00359,V001620,ST00006,M00069,C02324,80.23,160.46
SR00360,V000882,ST00002,M00079,C01489,88.35,88.35
SR00361,V000341,ST00005,M00051,C02564,97.06,97.06
SR00362,V002169,ST00006,M00082,C03567,84.37,168.74
SR00363,V003534,ST00002,M00026,C01619,33.93,33.93
SR00364,V005938,ST00007,M00017,C01590,56.27,225.08
SR00365,V003045,ST00007,M00060,C00662,62.29,249.16
SR00366,V001173,ST00005,M00060,C01629,81.27,81.27
SR00367,V004083,ST00006,M00044,C02343,44.21,88.42
SR00368,V002549,ST00003,M00035,C01948,20.03,20.03
SR00369,V000454,ST00003,M00003,C02437,75.0,75.0
SR00370,V005968,ST00002,M00043,C01404,69.74,69.74
SR00371,V002149,ST00004,M00048,C03466,56.08,168.24
SR00372,V002915,ST00006,M00046,C01468,98.98,197.96
SR00373,V003538,ST00002,M00006,C00845,54.09,54.09
SR00374,V002060,ST00001,M00070,C02852,98.88,197.76
SR00375,V002630,ST00003,M00082,C01598,88.32,88.32
SR00376,V002293,ST00006,M00025,C03142,41.83,83.66
SR00377,V001729,ST00007,M00097,C00085,64.37,257.48
SR00378,V000551,ST00007,M00034,C01678,33.58,134.32
SR00379,V005191,ST00004,M00071,C01149,35.63,106.89
SR00380,V001457,ST00006,M00036,C02346,69.27,138.54
SR00381,V004711,ST00002,M00001,C01611,98.22,98.22
SR00382,V000461,ST00004,M00027,C02656,71.59,214.77
SR00383,V001949,ST00001,M00051,C00567,91.11,182.22
SR00384,V004327,ST00002,M00017,C03677,64.16,64.16
SR00385,V001446,ST00005,M00071,C00491,90.83,90.83
SR00386,V003460,ST00006,M00077,C03182,56.18,112.36
SR00387,V002615,ST00005,M00080,C02316,79.47,79.47
SR00388,V000813,ST00003,M00042,C01978,94.88,94.88
SR00389,V001255,ST00004,M00042,C01762,50.81,152.43
SR00390,V004808,ST00004,M00037,C01425,40.63,121.89
SR00391,V002092,ST00002,M00040,C02982,97.17,97.17
SR00392,V003694,ST00006,M00034,C03489,21.14,42.28
SR00393,V001520,ST00004,M00062,C02066,82.33,246.99
SR00394,V004694,ST00001,M00073,C02154,29.36,58.72
SR00395,V004770,ST00007,M00017,C01636,85.65,342.6
SR00396,V001077,ST00002,M00069,C02693,71.05,71.05
SR00397,V003321,ST00002,M00093,C00110,47.56,47.56
SR00398,V001836,ST00002,M00077,C02888,90.16,90.16
SR00399,V001599,ST00007,M00062,C02245,56.24,224.96
SR00400,V003683,ST00004,M00001,C00464,46.79,140.37
SR00401,V000267,ST00007,M00074,C02954,83.94,335.76
SR00402,V005363,ST00007,M00022,C03474,40.84,163.36
SR00403,V000275,ST00001,M00095,C03412,87.03,174.06
SR00404,V004908,ST00004,M00052,C00691,54.76,164.28
SR00405,V002858,ST00002,M00067,C01440,43.6,43.6
SR00406,V000994,ST00003,M00073,C03643,38.72,38.72
SR00407,V000569,ST00005,M00068,C00496,87.65,87.65
SR00408,V001789,ST00005,M00016,C02624,92.21,92.21
SR00409,V005594,ST00006,M00019,C02895,41.75,83.5
SR00410,V004970,ST00005,M00085,C00339,38.14,38.14
SR00411,V000681,ST00005,M00012,C03806,89.84,89.84
SR00412,V005564,ST00001,M00013,C00895,30.06,60.12
SR00413,V001512,ST00007,M00092,C00934,50.29,201.16
SR00414,V001193,ST00004,M00070,C02535,46.9,140.7
SR00415,V001279,ST00004,M00041,C02131,47.66,142.98
SR00416,V003606,ST00006,M00072,C02403,53.45,106.9
SR00417,V005897,ST00007,M00069,C02046,67.12,268.48
SR00418,V003549,ST00001,M00043,C01952,24.59,49.18
SR00419,V000810,ST00002,M00029,C00709,43.54,43.54
SR00420,V002877,ST00002,M00027,C03087,40.64,40.64
SR00421,V004531,ST00006,M00078,C02029,48.46,96.92
SR00422,V002085,ST00001,M00082,C00207,72.81,145.62
SR00423,V001240,ST00004,M00089,C02351,24.94,74.82
SR00424,V002844,ST00007,M00021,C03626,48.21,192.84
SR00425,V005719,ST00003,M00077,C03675,35.73,35.73
SR00426,V000692,ST00001,M00048,C03410,74.18,148.36
SR00427,V000714,ST00005,M00057,C01088,24.5,24.5
SR00428,V004435,ST00001,M00088,C00278,60.76,121.52
SR00429,V003883,ST00001,M00070,C01557,71.71,143.42
SR00430,V005677,ST00003,M00096,C03943,32.84,32.84
SR00431,V002425,ST00002,M00050,C03992,80.46,80.46
SR00432,V001485,ST00003,M00091,C02272,34.88,34.88
SR00433,V001290,ST00002,M00045,C01263,29.27,29.27
SR00434,V001955,ST00007,M00003,C00254,36.81,147.24
SR00435,V000984,ST00001,M00077,C03634,69.42,138.84
SR00436,V004591,ST00004,M00045,C01631,99.34,298.02
SR00437,V002690,ST00002,M00085,C02775,58.9,58.9
SR00438,V004156,ST00002,M00083,C00290,37.29,37.29
SR00439,V001769,ST00005,M00017,C03511,85.84,85.84
SR00440,V000718,ST00004,M00041,C01493,44.69,134.07
SR00441,V005723,ST00003,M00051,C01980,94.68,94.68
SR00442,V001778,ST00002,M00028,C02796,62.86,62.86
SR00443,V001404,ST00002,M00008,C00783,74.65,74.65
SR00444,V005105,ST00001,M00068,C03352,49.18,98.36
SR00445,V003954,ST00007,M00001,C01738,66.32,265.28
SR00446,V002873,ST00001,M00007,C00974,89.72,179.44
SR00447,V004022,ST00005,M00005,C01471,57.06,57.06
SR00448,V000216,ST00005,M00005,C01692,82.02,82.02
SR00449,V001637,ST00006,M00031,C00323,52.74,105.48
SR00450,V002387,ST00004,M00089,C03332,60.98,182.94
SR00451,V000236,ST00003,M00071,C03571,60.95,60.95
SR00452,V005104,ST00006,M00015,C02469,51.34,102.68
SR00453,V003625,ST00003,M00004,C03085,84.07,84.07
SR00454,V000961,ST00004,M00099,C02787,66.05,198.15
SR00455,V005975,ST00001,M00058,C00170,31.34,62.68
SR00456,V004387,ST00002,M00035,C01766,77.01,77.01
SR00457,V000766,ST00002,M00015,C00587,75.81,75.81
SR00458,V002194,ST00003,M00023,C02628,41.58,41.58
SR00459,V004382,ST00001,M00056,C02215,59.02,118.04
SR00460,V003027,ST00005,M00084,C00776,52.56,52.56
SR00461,V002528,ST00001,M00096,C03183,53.67,107.34
SR00462,V001875,ST00002,M00007,C01584,34.13,34.13
SR00463,V003293,ST00005,M00002,C00057,59.79,59.79
